Track,Author,Platform,URL,Quote,Sentiment
45,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,<reputation>country legend</reputation> Chris Stapleton taps into the <interpretation>gritty defiance of the original with a mean and dusty</interpretation> eight-minute version that rises to the top of the …Blacklist heap,1
45,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,Chris Stapleton ... throw[s his] <genre>oversized cowboy [hat]</genre> in the ring.,1
45,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,there are few more dispiriting moments in music than when you realise ...  that country blues croaker Chris Stapleton is now going to wang on for over eight [minutes].,-1
46,Fred Thomas,AllMusic,https://www.allmusic.com/album/the-metallica-blacklist-mw0003548306,a <uniqueness>staggering 12 versions</uniqueness> of "Nothing Else Matters" by everyone from ... TRESOR ... and more.,1
47,Fred Thomas,AllMusic,https://www.allmusic.com/album/the-metallica-blacklist-mw0003548306,"The <uniqueness>least-covered songs</uniqueness> on The Metallica Blacklist stand out [such as] Goodnight, Texas' <interpretation>woodsy version</interpretation> of ""Of Wolf and Man""",1
47,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,"Special mention must go to Goodnight, Texas ... <uniqueness>the only [act] to offer to cover 'Of Wolf And Man'</uniqueness>",1
47,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,"On a 53-track album, they can't all be winners ... A group called Goodnight, Texas brings a <genre>stomp-clap-hey</genre> to ""Of Wolf and Man.""",-1
48,Sam Walker-Smart,Clash,https://www.clashmusic.com/reviews/v-a-the-metallica-blacklist/,"IDLES pummel 'The God That Failed' into their wheelhouse, <instrumentation>snarling guitars and sparse bass</instrumentation> <interpretation>transforming the song into something wholly new and completely thrilling</interpretation>. ",1
48,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,"IDLES insert British <genre>gutter punk energy</genre> into their cover of ""The God That Failed"", already one of the heaviest songs on The Black Album",1
48,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,IDLES deliver a <interpretation>sonic slap in the face</interpretation> with 'The God That Failed',1
48,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,IDLES turn "The God That Failed" into a <genre>bug-eyed post-punk exorcism</genre>,1
50,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,Cherry Glazzer covers "My Friend of Misery" as <genre>stiffish New Wave guitar rock</genre>,-1
52,Fred Thomas,AllMusic,https://www.allmusic.com/album/the-metallica-blacklist-mw0003548306,Kamasi Washington's <genre>spacy grooves</genre> on "My Friend Misery",1
52,Roisin O'Connor & Elizabeth Aubrey,The Independent,https://www.independent.co.uk/arts-entertainment/music/reviews/metallica-blacklist-review-common-album-b1916443.html,jazz virtuoso Kamasi Washington's <interpretation>transcendent take</interpretation> on "My Friend of Misery",1
52,Brad Sanders,Pitchfork,https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/,"Kamasi Washington pulls off the most impressive feat of the record, discovering a <genre>swirling spiritual jazz workout</genre> in the <uniqueness>little-loved ""My Friend of Misery""</uniqueness"" and enlisting vocalist Patrice Quinn to <interpretation>breathe new life</interpretation> into Hetfield's cynical lyric.",1
52,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,Kamasi Washington turns it into shockingly great electric fusion with singer Patrice Quinn reworking James Hetfield's lyrics into something for the Village Vanguard.,1
53,Fred Thomas,AllMusic,https://www.allmusic.com/album/the-metallica-blacklist-mw0003548306,The <uniqueness>least-covered songs on The Metallica Blacklist stand out</uniqueness> [such as] Rodrigo y Gabriela's <instrumentation>precision acoustic instrumental</instrumentation> take on "The Struggle Within",1
53,Steve Lampiris,The Line of Best Fit,https://www.thelineofbestfit.com/reviews/albums/metallica-the-blacklist-album-review,Rodrigo y Gabriela's <genre>impressive flamenco transformation</genre> of "The Struggle Within",1
53,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,"Special mention must go to ... Rodrigo Y Gabriela, the <uniqueness>only [act] to offer to cover  ... 'The Struggle Within'</uniqueness>",1
